TEAM,CONF,G,W,TORD,ORB,FTR,2P_O,3P_O,YEAR
Houston Baptist,Slnd,30,13,16.7,29.6,44.9,49.3,35.5,2016
Incarnate Word,Slnd,25,14,18.2,22.5,35.5,44.7,38.9,2016
Lamar,Slnd,26,7,19.4,33.4,42.6,46.7,32.6,2016
McNeese St.,Slnd,26,7,16.1,28.1,36.2,44.9,33.2,2016
New Orleans,Slnd,27,7,21.4,34.8,43.2,43.8,32.5,2016
Nicholls St.,Slnd,31,8,18.2,25,40.4,47.7,30.9,2016
Northwestern St.,Slnd,24,5,18.6,27.3,35.2,49.5,34.3,2016
Sam Houston St.,Slnd,30,15,18.7,28.8,36.6,48,34.1,2016
Southeastern Louisiana,Slnd,31,10,19.1,29.4,37,49.1,36.5,2016
Texas A&M Corpus Chris,Slnd,31,23,22.5,30.9,37.7,48.2,34.1,2016
Abilene Christian,Slnd,25,13,21.4,23,34.7,50.7,37.1,2017
Central Arkansas,Slnd,32,8,15.7,28.8,35.9,46.7,37.5,2017
Houston Baptist,Slnd,27,17,18.5,35.7,37.8,48.6,33.5,2017
Incarnate Word,Slnd,25,12,16.6,22.2,43.6,48.2,37.8,2017
Lamar,Slnd,30,19,21,31.2,40.3,49.3,35.8,2017
McNeese St.,Slnd,26,7,17.9,25.4,34.4,46.2,33.4,2017
Nicholls St.,Slnd,27,14,20.4,26.8,35.8,49,33.5,2017
Northwestern St.,Slnd,25,13,19.2,29.6,41,47.9,36.3,2017
Sam Houston St.,Slnd,30,21,22.2,31.6,36.3,47.7,30.6,2017
Southeastern Louisiana,Slnd,30,16,21.6,35,37,48.3,36.1,2017
Stephen F. Austin,Slnd,30,18,22.9,34.7,40.6,50.3,31.4,2017
Texas A&M Corpus Chris,Slnd,33,24,23,29.3,37.1,52.1,32.8,2017
Abilene Christian,Slnd,28,16,21.6,27.3,31.5,51.9,31.8,2018
Central Arkansas,Slnd,34,18,19,27.2,36.1,50.7,35.6,2018
Houston Baptist,Slnd,28,6,18.8,34,35.5,44.4,32.8,2018
Incarnate Word,Slnd,24,7,17.7,26.9,41.1,45.4,34.6,2018
Lamar,Slnd,29,19,21.9,31.7,36.3,46.7,34.4,2018
McNeese St.,Slnd,25,12,15.2,29.3,32.7,47.3,34.6,2018
New Orleans,Slnd,30,16,22.3,32.6,41.5,47.3,35.6,2018
Nicholls St.,Slnd,28,21,21.1,30.5,37.3,51.6,34.8,2018
Northwestern St.,Slnd,25,4,19.1,32.4,33.2,44.9,28.3,2018
Sam Houston St.,Slnd,32,21,20.1,32.5,34,47,33.7,2018
Southeastern Louisiana,Slnd,31,22,20.3,29.5,35.3,50.9,34.4,2018
Texas A&M Corpus Chris,Slnd,26,11,21.2,28.8,37,46.7,34.4,2018
Central Arkansas,Slnd,30,14,18,24.5,34.2,46.3,35.3,2019
Houston Baptist,Slnd,28,12,20.2,33.8,42.4,49.3,33.4,2019
Incarnate Word,Slnd,27,6,19.7,23.1,34.8,51.4,35.1,2019
Lamar,Slnd,29,20,19.8,36.2,42.3,48.8,33.6,2019
McNeese St.,Slnd,27,9,17.7,29.7,38.8,51.3,31,2019
New Orleans,Slnd,29,19,22.5,32.8,36,47.2,33.3,2019
Nicholls St.,Slnd,27,14,18.1,23.5,21.9,45.4,37,2019
Northwestern St.,Slnd,28,11,19.5,28.9,33.6,46.2,28,2019
Sam Houston St.,Slnd,30,21,21.2,29.7,26,48.6,37.5,2019
Southeastern Louisiana,Slnd,31,17,20.9,32.5,37.2,50.4,33.6,2019
Stephen F. Austin,Slnd,26,14,21.5,29.1,36.2,47.6,33.3,2019
Texas A&M Corpus Chris,Slnd,28,14,20.1,31.1,29.8,47.6,32.3,2019
Denver,Sum,30,12,20.4,19.3,31.2,55.5,38,2015
IPFW,Sum,28,13,16,25.1,41.1,52.6,36.3,2015
IUPUI,Sum,31,10,20.9,31.1,32.8,47.3,29.6,2015
Nebraska Omaha,Sum,28,11,20.3,30.5,42.6,49.2,33.1,2015
Oral Roberts,Sum,32,17,18.6,29.5,44.5,45.6,35.8,2015
South Dakota,Sum,31,15,17.5,31,33.7,44.2,35.8,2015
South Dakota St.,Sum,33,22,18.1,28.8,40.4,48.6,38.1,2015
Western Illinois,Sum,26,6,16.7,20,30.3,41.2,35.2,2015
Denver,Sum,31,16,22.7,20,36.6,54.3,38.3,2016
IPFW,Sum,32,22,15.7,28.1,33.4,49,40.3,2016
IUPUI,Sum,31,12,18.1,27.7,31.9,45.6,33.3,2016
Nebraska Omaha,Sum,30,16,20.3,28.1,42.6,52.6,33.6,2016
North Dakota St.,Sum,31,18,16.9,25.6,33.9,49.1,34.1,2016
Oral Roberts,Sum,29,12,15.9,28.1,36.6,48,38,2016
South Dakota,Sum,30,12,19,25,30.1,50.5,36.4,2016
Western Illinois,Sum,24,7,15.2,25.5,32,46,37.8,2016
Denver,Sum,30,16,15.5,28.8,34.6,52.1,40.2,2017
Fort Wayne,Sum,30,20,17.8,28.8,25.8,54.9,39,2017
IUPUI,Sum,30,14,19,29.6,33.2,48.5,37.8,2017
Nebraska Omaha,Sum,31,18,19.3,28.9,40.6,49,38.4,2017
North Dakota St.,Sum,28,19,17.2,25,39.7,50.8,36.3,2017
Oral Roberts,Sum,28,8,16.1,25,30.6,47.9,35.4,2017
South Dakota,Sum,32,22,18.5,27.5,42.7,48.8,34.2,2017
Western Illinois,Sum,26,8,13.8,18.9,29,45.1,38.7,2017
Denver,Sum,28,15,15.7,30.6,32.8,49.2,39.5,2018
Fort Wayne,Sum,29,18,19.9,25.6,31.6,51.3,36.6,2018
Nebraska Omaha,Sum,29,9,15.7,24.9,27.3,50,35.8,2018
North Dakota St.,Sum,29,15,14.4,23,30.4,52.5,36.8,2018
Oral Roberts,Sum,28,11,15.3,35,24.3,47.7,34.2,2018
South Dakota,Sum,31,26,19.9,29.4,35.7,51.9,35,2018
Western Illinois,Sum,24,12,14.5,18,28.3,48.6,34.9,2018
Denver,Sum,29,8,15.7,26.4,26.2,47.8,36.2,2019
Fort Wayne,Sum,30,18,17.1,23.1,26.9,55.8,37.2,2019
Nebraska Omaha,Sum,31,21,16.8,24.8,24.1,51.8,39.3,2019
Oral Roberts,Sum,30,11,14.5,29.8,26.1,50.7,36.4,2019
South Dakota,Sum,28,13,17.4,21.5,35.9,49.6,33.9,2019
South Dakota St.,Sum,32,24,15.6,23.9,31.9,56.2,41.2,2019
Western Illinois,Sum,29,10,14.5,22.6,23.2,45.9,38.2,2019
Alabama A&M,SWAC,28,8,18.3,35.2,41.6,45.4,29.1,2015
Alabama St.,SWAC,27,17,19.2,36,34.6,46.4,35.4,2015
Alcorn St.,SWAC,30,5,18.6,30.2,37.5,43.3,28.4,2015
Arkansas Pine Bluff,SWAC,32,12,24.9,30.5,35.6,44.2,33.3,2015
Grambling St.,SWAC,27,0,16.9,28.9,39.6,38.4,28.3,2015
Jackson St.,SWAC,32,11,22.7,37.7,32.9,43.7,27.4,2015
Mississippi Valley St.,SWAC,32,6,20.8,30.1,33,41.7,30.3,2015
Prairie View A&M,SWAC,32,14,24.3,32.1,30.9,46.7,33.1,2015
Southern,SWAC,32,15,20.6,32.1,40.5,44.9,30.6,2015
Alabama A&M,SWAC,28,10,17,31.6,38.4,49,28.4,2016
Alabama St.,SWAC,29,12,18.3,31.4,31.7,43.6,33.3,2016
Alcorn St.,SWAC,28,13,17.3,34.8,38.4,45.3,30.8,2016
Arkansas Pine Bluff,SWAC,33,8,20.2,27.7,30.1,44.7,30.3,2016
Grambling St.,SWAC,28,4,20,24.9,44.2,45.3,27.4,2016
Jackson St.,SWAC,34,18,20.7,32.3,30.4,45.4,30.8,2016
Mississippi Valley St.,SWAC,35,8,19.4,27.1,31.3,42,30.3,2016
Prairie View A&M,SWAC,31,7,23.4,30.7,36.4,42.1,27.3,2016
Texas Southern,SWAC,33,18,15.8,35.3,41.5,52.3,33.8,2016
Alabama A&M,SWAC,29,2,14,29.3,39.5,45.6,27.5,2017
Alabama St.,SWAC,30,8,18,34.5,34.6,44.4,29.4,2017
Alcorn St.,SWAC,29,18,18.6,31.9,32.8,47.9,32,2017
Arkansas Pine Bluff,SWAC,30,6,23.5,29.9,32.8,42.9,34.4,2017
Grambling St.,SWAC,30,15,24.3,32,38.1,46.6,31.5,2017
Jackson St.,SWAC,29,14,19.8,34,33.7,44,29.8,2017
Mississippi Valley St.,SWAC,32,7,19.5,30.4,33.5,44.9,34.3,2017
Prairie View A&M,SWAC,31,13,21.7,24.7,35.4,46.4,34.9,2017
Southern,SWAC,30,15,17.2,34.2,42.8,47.6,32.1,2017
Alabama A&M,SWAC,31,3,16.6,30,31.4,44.8,30.3,2018
Alabama St.,SWAC,31,8,18.3,31.9,35.2,45.2,32.8,2018
Alcorn St.,SWAC,28,11,17.9,27.1,33.7,47.8,32.7,2018
Arkansas Pine Bluff,SWAC,35,14,22.7,23.4,36.6,49.7,32.9,2018
Grambling St.,SWAC,30,17,20.2,32,40.7,44.5,32.6,2018
Jackson St.,SWAC,30,12,21.4,30.7,24.9,39.3,32.8,2018
Mississippi Valley St.,SWAC,32,4,19.6,30.4,29.1,41.6,30.1,2018
Prairie View A&M,SWAC,33,16,22.5,31.3,39.2,49.2,32.3,2018
Southern,SWAC,31,15,17.4,32.9,41.5,42.3,33.2,2018
Alabama A&M,SWAC,32,5,21,28,25.1,45,31.6,2019
Alabama St.,SWAC,29,12,21.2,31.6,37.4,44.7,32.1,2019
Alcorn St.,SWAC,27,10,18.2,30.1,30.5,45,31.3,2019
Arkansas Pine Bluff,SWAC,31,13,19.7,29.1,42.4,47,34,2019
Grambling St.,SWAC,31,17,18,25.8,43,45.5,40.2,2019
Jackson St.,SWAC,30,13,20.7,28.7,34.3,45.9,27.9,2019
Mississippi Valley St.,SWAC,31,6,17.5,28.4,33.7,40.1,31,2019
Southern,SWAC,31,7,22.2,30.2,34.6,48.8,32.6,2019
Texas Southern,SWAC,36,24,19.9,32.5,40.8,52.2,32.1,2019
Cal St. Bakersfield,WAC,30,11,19,33.4,37.7,45,32,2015
Chicago St.,WAC,29,5,22.3,33.6,27.1,40.6,30.2,2015
Grand Canyon,WAC,30,15,16.3,26.8,40.1,50.2,33.7,2015
Seattle,WAC,32,16,17.3,30.9,36.4,47.5,37.8,2015
UMKC,WAC,31,12,23.6,31.7,40.3,43.7,33.4,2015
UT Rio Grande Valley,WAC,28,7,19,30.4,38.6,45.6,28.2,2015
Utah Valley,WAC,28,9,17.8,28.5,33.3,44.4,29.8,2015
Chicago St.,WAC,29,1,19,29.5,28.1,40.9,30.1,2016
Grand Canyon,WAC,32,25,19.1,32,41.5,48.3,35.6,2016
New Mexico St.,WAC,32,21,16.2,36,36.9,50.7,32.5,2016
Seattle,WAC,30,13,18.9,32.5,36,44.7,35.5,2016
UMKC,WAC,28,9,17.2,32.7,35.3,45.5,36.8,2016
UT Rio Grande Valley,WAC,27,5,14.4,23,29.6,45.7,33.1,2016
Utah Valley,WAC,27,9,16.6,22.9,34.5,46.3,34.6,2016
Cal St. Bakersfield,WAC,32,25,22.8,32.6,38,46.9,34.2,2017
Chicago St.,WAC,29,6,18.3,26.1,27.8,40.7,30.4,2017
Grand Canyon,WAC,29,22,20.9,29.1,42.1,47.8,33,2017
Seattle,WAC,27,13,19,20.6,36.2,50.3,33.9,2017
UMKC,WAC,32,18,20,27.1,38.4,47.3,36.9,2017
UT Rio Grande Valley,WAC,29,10,20.2,29.5,32.5,48,32.5,2017
Utah Valley,WAC,31,17,17.4,23.8,37.3,52.9,32.3,2017
Cal St. Bakersfield,WAC,27,12,19.2,30.7,34.7,47.5,29.8,2018
Chicago St.,WAC,30,3,18.2,25.5,31.6,43.6,31.4,2018
Grand Canyon,WAC,33,22,21.5,31.7,39.1,49.2,31.7,2018
Seattle,WAC,31,20,15.5,29.7,34.5,47.4,37.2,2018
UMKC,WAC,29,10,20,21.3,34.4,45.6,33.5,2018
UT Rio Grande Valley,WAC,31,15,20.4,28.2,41.2,44.3,30.5,2018
Utah Valley,WAC,31,23,17.5,30.9,39.1,51.9,38.9,2018
Cal Baptist,WAC,27,16,15.1,28.8,32.4,50.4,34.8,2019
Cal St. Bakersfield,WAC,31,18,20.1,37.9,29.2,46.7,31,2019
Chicago St.,WAC,30,3,16.7,22.1,33.1,43.5,30.7,2019
Grand Canyon,WAC,33,20,19.3,29,33.7,52.5,33.1,2019
Seattle,WAC,31,18,15.8,29.3,34.3,46.1,36.8,2019
UMKC,WAC,31,11,20.9,23.5,32.4,47.8,35.2,2019
UT Rio Grande Valley,WAC,35,20,24.3,26.5,42.7,46,31.3,2019
Utah Valley,WAC,33,25,16.5,28,40.3,54.2,38.5,2019
Loyola Marymount,WCC,30,7,18,33.5,36.2,43.8,35.1,2015
Pacific,WCC,28,9,16.2,34.6,39.4,44.3,34.2,2015
Pepperdine,WCC,31,17,19.1,28.7,37,46.6,31.8,2015
Portland,WCC,31,15,17.2,35,36.1,46.9,37.8,2015
Saint Mary's,WCC,30,20,15.4,33.2,34.1,50.6,37.1,2015
San Diego,WCC,30,14,21.3,30,38.4,46,34.5,2015
San Francisco,WCC,31,13,18.9,30.5,41,50.7,33.7,2015
Santa Clara,WCC,30,12,19.1,28.1,31.1,46,34.6,2015
BYU,WCC,36,25,17.8,31.2,35.3,50.2,38.4,2016
Loyola Marymount,WCC,30,13,20.2,28.9,28.4,45.7,33.9,2016
Pacific,WCC,26,6,16.5,28.5,38.4,49.3,32.2,2016
Pepperdine,WCC,31,17,16.1,30.3,41.1,48.3,34,2016
Portland,WCC,31,11,18.4,30.7,31.4,47,36.3,2016
Saint Mary's,WCC,34,28,15.5,29.8,29,56.4,41,2016
San Diego,WCC,29,8,17.4,26,33.9,46.1,29.2,2016
San Francisco,WCC,29,14,16,33.4,39.1,48.5,35.1,2016
Santa Clara,WCC,30,10,16.7,24.4,33.8,45.2,34.8,2016
BYU,WCC,34,22,16.2,29.1,42.3,50.9,34.4,2017
Loyola Marymount,WCC,29,15,21.5,30,30.9,48.9,35.2,2017
Pacific,WCC,32,11,16.5,29.3,34.6,42.9,32.5,2017
Pepperdine,WCC,30,9,15.7,26.1,29.5,46.9,37.5,2017
Portland,WCC,31,11,16.8,24.4,37.6,43.2,37,2017
San Diego,WCC,30,13,15.1,23.6,35.5,45,34.7,2017
San Francisco,WCC,32,20,19.4,26.5,27.2,52.5,34.7,2017
Santa Clara,WCC,32,17,19,18.3,24,47.9,38.3,2017
BYU,WCC,35,24,18.5,22.5,37.6,55.3,34.7,2018
Loyola Marymount,WCC,30,11,19.8,34.6,32.5,48.2,34.6,2018
Pacific,WCC,31,14,18.3,30.3,40.5,48.4,32.6,2018
Pepperdine,WCC,31,6,15.5,28.5,35.2,48.8,34.2,2018
Portland,WCC,29,10,15.8,19.2,34.6,46.5,38.3,2018
Saint Mary's,WCC,36,30,15.1,28.9,30.4,57.1,41,2018
San Diego,WCC,33,20,17.8,22.4,39.3,51.7,36.6,2018
San Francisco,WCC,38,22,17,28,29.3,48.4,33.8,2018
Santa Clara,WCC,29,11,18.9,23.7,30.2,47.1,33.8,2018
BYU,WCC,32,19,17.6,23.7,40,54.7,33,2019
Loyola Marymount,WCC,32,22,21.6,29.4,36.7,50.3,31.6,2019
Pacific,WCC,30,14,19.2,26.8,40.5,44.9,35.6,2019
Pepperdine,WCC,33,16,20.9,24.9,35.7,48.4,37.9,2019
Portland,WCC,30,7,16.3,20.3,39,45.8,32.9,2019
San Diego,WCC,35,21,17.5,24.1,32.4,52.4,34.8,2019
San Francisco,WCC,30,21,17.2,28.9,30.9,53.8,35.4,2019
Santa Clara,WCC,30,16,16.3,24.1,33.9,49.8,36.2,2019
Abilene Christian,Slnd,21,2,18,24.9,42.3,42.3,37.3,2014
Air Force,MWC,28,10,17.8,26.4,37.1,49.6,32.9,2014
Akron,MAC,34,21,19.5,34.8,40.4,49.3,34.6,2014
Alabama,SEC,31,12,19.3,30,44,49.1,33.3,2014
Alabama A&M,SWAC,28,12,20.2,27.6,41.5,45,32.3,2014
Alabama St.,SWAC,29,16,21.4,33.3,40.7,47.2,28,2014
Alcorn St.,SWAC,28,9,19.1,28.6,41.4,45.2,30.1,2014
Appalachian St.,SC,26,5,18.9,33.4,41.1,44.3,29.4,2014
Arkansas,SEC,34,22,23.2,31.8,40.2,48,36.2,2014
Arkansas Little Rock,SB,30,13,18.3,31.3,41.5,45.8,31.1,2014
Arkansas Pine Bluff,SWAC,29,11,23.9,29.2,41.1,44.7,34.1,2014
Arkansas St.,SB,30,17,18.2,26.9,42.4,48.3,38.6,2014
Army,Pat,30,14,19.9,32,32.6,51.4,33.8,2014
Auburn,SEC,30,14,18.8,31.7,44.1,50,31,2014
Austin Peay,OVC,28,10,19.9,29.6,49.3,53.5,33.5,2014
Ball St.,MAC,28,3,16.3,34,42.6,46.3,31.5,2014
Belmont,OVC,35,25,20.5,28.2,41.2,56.9,39,2014
Bethune Cookman,MEAC,30,5,19.7,31.8,34.1,41.3,35.8,2014
Binghamton,AE,30,7,19.8,29.1,44.2,41.5,32,2014
Boise St.,MWC,31,18,17,32.1,36.6,49.8,35.9,2014
Boston College,ACC,31,7,15,27.1,44.5,51.7,35.1,2014
Boston University,Pat,35,24,20.4,28.1,29.9,50.9,36.3,2014
Bowling Green,MAC,31,11,20.5,30.4,36.3,46.4,28.3,2014
Bradley,MVC,32,12,20.2,32.3,36.5,45.7,32.2,2014
Brown,Ivy,28,14,16.7,30.5,35.6,44.7,37.7,2014
Bryant,NEC,31,17,18,29,37.1,53.8,33.2,2014
Bucknell,Pat,30,16,14.4,29,31.7,44.6,39,2014
Buffalo,MAC,28,18,19.2,35.1,41.8,50,33.7,2014
Butler,BE,30,13,17.7,30.4,37.7,47.3,31.4,2014
Cal St. Bakersfield,WAC,31,12,19,34.3,38.7,45.4,38.6,2014
Cal St. Fullerton,BW,31,11,17,29.1,38.1,47.3,33.1,2014
Cal St. Northridge,BW,33,15,17.3,33,48.8,47.3,36.4,2014
California,P12,35,21,15,29.5,35.6,50.2,34.5,2014
Campbell,BSth,28,9,16,31,27.4,50.2,35.1,2014
Canisius,MAAC,33,21,19.6,31.8,38,49.9,38.6,2014
Central Arkansas,Slnd,27,6,19.2,28,38.2,46.9,36.7,2014
Central Connecticut,NEC,29,10,18.2,28.8,29.6,47.3,33.5,2014
Central Michigan,MAC,29,8,19.5,29,37.1,50.8,31.6,2014
Charleston Southern,BSth,27,9,16.9,29.9,34.8,48.3,37,2014
Charlotte,CUSA,31,17,17.4,33.8,39.5,48.2,35.6,2014
Chattanooga,SC,30,15,17.9,34.1,44.6,46.7,32.5,2014
Chicago St.,WAC,30,11,22.1,27,33.8,45.1,33.3,2014
Clemson,ACC,36,23,17.3,33.8,36.1,47.9,31,2014
Cleveland St.,Horz,31,19,19.3,31.9,37.5,48.8,40.2,2014
Colgate,Pat,30,12,16.2,23.6,28.1,54,40.1,2014
College of Charleston,CAA,31,13,15.1,34.8,34.4,44.9,34.5,2014
Colorado St.,MWC,30,14,16.8,34.7,47.6,45.7,31.6,2014
Columbia,Ivy,33,20,16.8,26.5,44,48.5,38.6,2014
Coppin St.,MEAC,31,11,19.3,30.2,40.2,43.1,32.4,2014
Cornell,Ivy,27,1,15.5,28.1,28.2,46.5,31.4,2014
Dartmouth,Ivy,26,10,19.6,31.6,36.3,45.7,38.1,2014
Davidson,SC,32,19,17.7,29.1,38.4,53.5,37.8,2014
Delaware St.,MEAC,28,7,18.1,29,38.7,45.8,31.6,2014
Denver,Sum,30,15,21,24.8,34.7,51.8,38.4,2014
DePaul,BE,33,12,19.1,33.8,42,46.3,33.6,2014
Detroit,Horz,30,11,19.5,32.6,38.5,45.7,30.8,2014
Drake,MVC,30,14,16.9,26.8,38.2,47.4,39.7,2014
Drexel,CAA,30,16,17.1,28.9,39.2,46.4,31.4,2014
Duquesne,A10,30,13,17.6,29.9,42.2,48.5,36.3,2014
East Carolina,CUSA,30,13,18.1,29.3,41.6,48.3,36.7,2014
East Tennessee St.,ASun,34,18,19.6,27.4,42.8,46.4,36.1,2014
Eastern Illinois,OVC,27,9,17.8,30.6,41.8,48.7,32.5,2014
Eastern Michigan,MAC,34,19,22.6,30.4,43,43.8,30,2014
Eastern Washington,BSky,29,13,14.8,29.9,40.4,49.5,37.2,2014
Elon,SC,29,16,16.8,26.9,35.8,50.9,36.3,2014
Evansville,MVC,31,12,18.1,26.5,49.1,48.9,35.3,2014
Fairfield,MAAC,32,7,16.6,30.5,34.6,43.6,33.3,2014
Fairleigh Dickinson,NEC,29,9,18.4,30.3,35.7,45,35,2014
FIU,CUSA,28,13,18.2,33.2,42.9,49.1,31.3,2014
Florida A&M,MEAC,30,12,20.6,35.6,33.9,42.5,32.3,2014
Florida Atlantic,CUSA,30,8,16.7,33.3,36.2,46.9,32.7,2014
Florida Gulf Coast,ASun,33,20,18.6,30,36,52.5,31.9,2014
Florida St.,ACC,36,22,18.9,34.5,45.6,49.7,38,2014
Fordham,A10,31,10,18,35.4,33.4,44.5,30.6,2014
Fresno St.,MWC,37,19,16.6,24,40.6,47.1,36.3,2014
Furman,SC,27,7,16.1,26.5,40.6,48.9,32.4,2014
Gardner Webb,BSth,30,15,20,33.2,41.2,47.2,32.5,2014
George Mason,A10,31,11,17.8,31.7,40.1,47,35.2,2014
Georgetown,BE,33,18,18.2,31.9,44.8,51.8,33.1,2014
Georgia,SEC,34,20,16,35.3,54.1,47.5,34.9,2014
Georgia Southern,SC,31,12,18.1,30.3,36.9,48.4,33,2014
Georgia St.,SB,32,23,20.1,24.9,38.8,51.1,38,2014
Georgia Tech,ACC,33,16,15.4,32.7,34.4,48,31.5,2014
Grambling St.,SWAC,27,4,18.3,30.6,40.5,45.3,32.5,2014
Grand Canyon,WAC,27,12,14.5,27.4,52.1,47,35.1,2014
Green Bay,Horz,28,21,19.9,34,43,50.9,34,2014
Hampton,MEAC,30,17,22.1,32.9,50.9,46,31.6,2014
Hartford,AE,33,17,20.4,24,38.9,52.4,37.6,2014
Hawaii,BW,29,18,19.2,37.3,42.4,51.9,33.2,2014
High Point,BSth,29,14,18,30.3,32.4,49.7,38.6,2014
Hofstra,CAA,33,10,15.3,35.5,45.1,47.2,33.4,2014
Holy Cross,Pat,34,20,18.8,29.8,39.4,46.9,35.3,2014
Houston,Amer,33,17,16.4,31.6,38.2,49.5,36.7,2014
Houston Baptist,Slnd,29,4,16.4,30.6,39.5,44.8,33.7,2014
Howard,MEAC,31,6,21.3,31.8,49.3,38.9,32.9,2014
Idaho,WAC,33,15,15.1,30.7,44.8,48.7,35.6,2014
Idaho St.,BSky,27,9,19.2,35.4,45.4,47.8,35.6,2014
Illinois,B10,35,20,18.7,31.2,31.2,45.9,31.7,2014
Illinois Chicago,Horz,29,4,16.6,30.4,39.2,44.8,32.6,2014
Illinois St.,MVC,33,17,20.2,26.9,40.7,47.5,30.8,2014
Incarnate Word,Slnd,15,9,19.5,31.2,41.3,50.6,37.1,2014
Indiana,B10,32,17,17.8,37.2,45.3,49.1,34.4,2014
Indiana St.,MVC,32,21,17.6,27,43.3,49.8,34.3,2014
Iona,MAAC,33,22,16.7,26.1,38,55.8,39.6,2014
IPFW,Sum,33,22,17.8,32.1,41.7,54,38.4,2014
IUPUI,Sum,29,3,15.3,22.7,32.6,46.8,30.4,2014
Jackson St.,SWAC,31,11,21.2,33.4,40.3,45.6,29.3,2014
Jacksonville,ASun,28,10,18.9,32.7,42.2,48.3,33.5,2014
Jacksonville St.,OVC,29,8,19.3,31.1,41.4,45.9,31.6,2014
James Madison,CAA,31,11,18.4,29.7,47.4,48.2,27.3,2014
Kennesaw St.,ASun,29,4,18.1,31,38.3,45.3,34,2014
Kent St.,MAC,31,15,19.6,30.4,37,47.3,35.1,2014
La Salle,A10,31,15,17.6,33.1,39.1,45.3,32.5,2014
Lafayette,Pat,30,10,17.7,27.4,33.3,50.6,39.7,2014
Lamar,Slnd,30,4,18.5,27.6,39.8,46.8,30.8,2014
Lehigh,Pat,32,14,16.8,26.1,32.7,46.5,35.9,2014
Liberty,BSth,29,8,15.1,38,34.5,48.4,35.7,2014
Lipscomb,ASun,29,14,20.1,25.8,47.9,49.7,35.5,2014
LIU Brooklyn,NEC,29,9,15.6,31,37.8,47.8,34.5,2014
Long Beach St.,BW,30,13,18.7,34.5,30.8,49.1,31.6,2014
Longwood,BSth,28,4,18.2,26.8,30.9,45.6,34.1,2014
Louisiana Monroe,SB,26,9,16.5,30.3,35.5,47,31.4,2014
Louisiana Tech,CUSA,36,28,22.8,33.5,41.7,52.2,33,2014
Loyola Chicago,MVC,31,9,18.1,26.8,38,51.6,35,2014
Loyola Marymount,WCC,31,12,19.7,32.4,36.4,48,29.8,2014
Loyola MD,Pat,28,9,20.9,30.5,41.1,44.1,31.5,2014
LSU,SEC,34,20,18,35,34.2,49.4,34.2,2014
Maine,AE,28,5,17.6,24.5,33.9,48.7,32.9,2014
Marist,MAAC,31,12,19.5,29.7,40.3,43.9,34.7,2014
Marquette,BE,32,17,19.3,34.1,44.8,48.9,32.1,2014
Marshall,CUSA,31,9,19.5,32.8,42.4,48,29.1,2014
Maryland,ACC,32,17,18.7,33.5,36.7,47.8,34.2,2014
Maryland Eastern Shore,MEAC,28,5,19,32.3,42.3,43.4,32.1,2014
McNeese St.,Slnd,29,9,18.9,32.8,33.6,43.5,30.2,2014
Miami FL,ACC,33,17,16.4,33.5,36.1,47.2,32.3,2014
Miami OH,MAC,30,13,21.7,24.5,34.8,49.7,30,2014
Middle Tennessee,CUSA,31,22,21.7,34.9,44.1,48.8,34.2,2014
Minnesota,B10,37,24,18.7,31.4,39.7,50.6,35.5,2014
Mississippi,SEC,33,19,19.9,33.1,39.6,46.5,33.9,2014
Mississippi St.,SEC,33,14,20.3,28.6,43.3,49.5,30.7,2014
Mississippi Valley St.,SWAC,29,6,18.6,29.9,36.1,44.7,31.1,2014
Missouri,SEC,35,23,15.9,34.7,52.5,51,34.4,2014
Missouri St.,MVC,32,19,18.1,27.1,40.9,47.1,35.9,2014
Monmouth,MAAC,32,11,21.3,33.7,40.6,45.4,33.6,2014
Montana,BSky,28,15,18.4,24.7,42.3,54.1,37,2014
Montana St.,BSky,29,12,19.6,25.8,39.3,46.8,33.8,2014
Morehead St.,OVC,32,18,20.6,38.1,53.2,51.1,30.4,2014
Morgan St.,MEAC,31,15,19.8,36.1,41.5,49.5,26.1,2014
Murray St.,OVC,32,21,17,31.7,45.9,52.2,37.6,2014
Navy,Pat,29,8,20.8,29.7,29.4,43.7,32.9,2014
Nebraska Omaha,Sum,29,14,20.6,28.4,39.3,49.5,33.2,2014
Nevada,MWC,32,15,15.9,31.1,38.1,48.5,33.8,2014
New Hampshire,AE,29,5,17,27.3,32.3,39.7,32.9,2014
New Orleans,Slnd,24,9,19.7,34.1,51.8,45.6,32.9,2014
Niagara,MAAC,33,7,20.2,32.1,48.6,48,30,2014
Nicholls St.,Slnd,28,13,19.2,28.2,39.5,52.2,30.4,2014
NJIT,ind,25,9,18.8,26.1,38.8,45,35.7,2014
Norfolk St.,MEAC,31,16,19.1,36.8,38.4,49.5,34.4,2014
North Carolina A&T,MEAC,31,8,17.9,33.4,58.6,41.9,29.5,2014
North Dakota,BSky,32,15,20.9,30.7,41.6,50.8,32,2014
North Florida,ASun,30,14,15.5,34,40.5,47.4,35.4,2014
North Texas,CUSA,30,14,17.6,29.2,41.3,44.8,34.2,2014
Northeastern,CAA,32,11,17.1,32.7,44.4,47.7,32.4,2014
Northern Arizona,BSky,31,14,18.4,33.1,34.3,48.9,35,2014
Northern Colorado,BSky,30,16,19,33.4,37.6,52.7,37.9,2014
Northern Illinois,MAC,31,14,20.8,35.9,50.6,43.2,27.6,2014
